date,workstream,action
2026-05-30,Deploy,実行版ZIPを本番へ反映し、sitemap.xmlを確認
2026-05-31,Search Console,sitemap.xmlを送信、記事3本をURL検査
2026-06-01,X,ドローン記事を投稿。香港/旅/空撮の切り口でリンク
2026-06-02,note,noteプロフィールと固定記事にWritingsリンクを追加
2026-06-03,X,Leica M2記事を投稿。旅写真/フィルムの切り口でリンク
2026-06-04,YouTube,既存動画の概要欄にGalleryリンクを追加
2026-06-05,Analytics,最初の7日: New users / Landing page / internal CTA clicks確認
2026-06-07,Content refresh,Galleryの香港項目から香港二拠点記事へリンク追加検討
2026-06-09,X,香港二拠点記事を投稿。写真3枚とセットで告知
2026-06-11,Internal links,Gear各ページから関連Guideへ1リンク追加
2026-06-13,Review,14日レビュー。流入がある記事を1本追記
2026-06-16,Content,次の記事案: カッパドキア空撮と旅の記録を下書き
2026-06-19,Social,上位記事を別切り口で再投稿
2026-06-22,SEO,Search Consoleで表示回数ありCTR低いページのtitle調整
2026-06-26,Review,月次見込みを確認し、不足分の配信先を追加
2026-06-29,Report,"1ヶ月レポート作成: New users, top source, top landing page, next action"
